ticker,per,date,time,close,vol
БСП ао,D,2016-12-19,000000,66.1,187510
БСП ао,D,2016-12-20,000000,65.95,146390
БСП ао,D,2016-12-21,000000,65.6,93110
БСП ао,D,2016-12-22,000000,63.7,118530
БСП ао,D,2016-12-23,000000,65,86440
БСП ао,D,2016-12-24,000000,65,0
БСП ао,D,2016-12-25,000000,65,0
БСП ао,D,2016-12-26,000000,65,35010
БСП ао,D,2016-12-27,000000,65,78330
БСП ао,D,2016-12-28,000000,65.2,60010
БСП ао,D,2016-12-29,000000,66.7,73350
БСП ао,D,2016-12-30,000000,66.8,28510
БСП ао,D,2016-12-31,000000,66.8,0
БСП ао,D,2017-01-01,000000,66.8,0
БСП ао,D,2017-01-02,000000,66.8,0
БСП ао,D,2017-01-03,000000,68.65,118630
БСП ао,D,2017-01-04,000000,69.15,52360
БСП ао,D,2017-01-05,000000,68.4,17140
БСП ао,D,2017-01-06,000000,68.95,9390
БСП ао,D,2017-01-07,000000,68.95,0
БСП ао,D,2017-01-08,000000,68.95,0
БСП ао,D,2017-01-09,000000,69.9,68380
БСП ао,D,2017-01-10,000000,71.4,82750
БСП ао,D,2017-01-11,000000,75.7,193500
БСП ао,D,2017-01-12,000000,75.55,123680
БСП ао,D,2017-01-13,000000,74.7,105380
БСП ао,D,2017-01-14,000000,74.7,0
БСП ао,D,2017-01-15,000000,74.7,0
БСП ао,D,2017-01-16,000000,75.25,47580
БСП ао,D,2017-01-17,000000,75,109300
БСП ао,D,2017-01-18,000000,75.05,511290
БСП ао,D,2017-01-19,000000,73.45,80700
БСП ао,D,2017-01-20,000000,70.35,274960
БСП ао,D,2017-01-21,000000,70.35,0
БСП ао,D,2017-01-22,000000,70.35,0
БСП ао,D,2017-01-23,000000,71.3,117280
БСП ао,D,2017-01-24,000000,71.9,45670
БСП ао,D,2017-01-25,000000,72,47910
БСП ао,D,2017-01-26,000000,74.35,147600
БСП ао,D,2017-01-27,000000,74.85,131040
БСП ао,D,2017-01-28,000000,74.85,0
БСП ао,D,2017-01-29,000000,74.85,0
БСП ао,D,2017-01-30,000000,75.25,45340
БСП ао,D,2017-01-31,000000,74.2,143050
БСП ао,D,2017-02-01,000000,74.65,47710
БСП ао,D,2017-02-02,000000,74.4,117460
БСП ао,D,2017-02-03,000000,74.65,68280
БСП ао,D,2017-02-04,000000,74.65,0
БСП ао,D,2017-02-05,000000,74.65,0
БСП ао,D,2017-02-06,000000,72.95,133780
БСП ао,D,2017-02-07,000000,73,101110
БСП ао,D,2017-02-08,000000,72.6,110210
БСП ао,D,2017-02-09,000000,71.7,145610
БСП ао,D,2017-02-10,000000,71.9,50480
БСП ао,D,2017-02-11,000000,71.9,0
БСП ао,D,2017-02-12,000000,71.9,0
БСП ао,D,2017-02-13,000000,70.55,68720
БСП ао,D,2017-02-14,000000,68.95,279230
БСП ао,D,2017-02-15,000000,70.15,238470
БСП ао,D,2017-02-16,000000,70.8,94340
БСП ао,D,2017-02-17,000000,70.95,59050
БСП ао,D,2017-02-18,000000,70.95,0
БСП ао,D,2017-02-19,000000,70.95,0
БСП ао,D,2017-02-20,000000,69.05,95350
БСП ао,D,2017-02-21,000000,69.65,125490
БСП ао,D,2017-02-22,000000,69.7,250970
БСП ао,D,2017-02-23,000000,69.7,0
БСП ао,D,2017-02-24,000000,67.75,76820
БСП ао,D,2017-02-25,000000,67.75,0
БСП ао,D,2017-02-26,000000,67.75,0
БСП ао,D,2017-02-27,000000,66.2,67390
БСП ао,D,2017-02-28,000000,65,118410
БСП ао,D,2017-03-01,000000,67.05,167760
БСП ао,D,2017-03-02,000000,66.6,212490
БСП ао,D,2017-03-03,000000,63.65,95170
БСП ао,D,2017-03-04,000000,63.65,0
БСП ао,D,2017-03-05,000000,63.65,0
БСП ао,D,2017-03-06,000000,64.9,113790
БСП ао,D,2017-03-07,000000,63.1,64800
БСП ао,D,2017-03-08,000000,63.1,0
БСП ао,D,2017-03-09,000000,57.8,407140
БСП ао,D,2017-03-10,000000,59.4,243820
БСП ао,D,2017-03-11,000000,59.4,0
БСП ао,D,2017-03-12,000000,59.4,0
БСП ао,D,2017-03-13,000000,59,266930
БСП ао,D,2017-03-14,000000,59,285290
БСП ао,D,2017-03-15,000000,59,282390
БСП ао,D,2017-03-16,000000,60.65,258300
БСП ао,D,2017-03-17,000000,60.8,140800
БСП ао,D,2017-03-18,000000,60.8,0
БСП ао,D,2017-03-19,000000,60.8,0
БСП ао,D,2017-03-20,000000,62.9,76660
БСП ао,D,2017-03-21,000000,63.85,52200
БСП ао,D,2017-03-22,000000,64.4,186080
БСП ао,D,2017-03-23,000000,65.35,148910
БСП ао,D,2017-03-24,000000,66.9,61340
БСП ао,D,2017-03-25,000000,66.9,0
БСП ао,D,2017-03-26,000000,66.9,0
БСП ао,D,2017-03-27,000000,64,146230
БСП ао,D,2017-03-28,000000,64,81440
БСП ао,D,2017-03-29,000000,63.6,78760
БСП ао,D,2017-03-30,000000,62.1,230320
БСП ао,D,2017-03-31,000000,60.85,120580
БСП ао,D,2017-04-01,000000,60.85,0
БСП ао,D,2017-04-02,000000,60.85,0
БСП ао,D,2017-04-03,000000,60,174460
БСП ао,D,2017-04-04,000000,59.95,254200
БСП ао,D,2017-04-05,000000,62,187320
БСП ао,D,2017-04-06,000000,62.6,178670
БСП ао,D,2017-04-07,000000,61.7,91200
БСП ао,D,2017-04-08,000000,61.7,0
